two_theta_deg,intensity_raw,intensity_smoothed
8.545812,263.7795,212.0510
8.562558,264.9606,210.1341
8.579304,261.7126,209.6748
8.596051,264.3701,207.5914
8.612797,254.2323,206.5998
8.629543,255.8071,204.1719
8.646289,256.0039,201.5337
8.663035,249.8031,201.4174
8.679781,256.0039,200.1925
8.696528,249.9016,201.5234
8.713274,251.4764,200.9923
8.730020,259.2520,199.9183
8.746766,246.9488,198.3497
8.763512,254.7244,196.2183
8.780258,242.6181,195.6379
8.797005,242.4213,193.9135
8.813751,243.6024,192.7021
8.830497,248.3268,193.0829
8.847243,247.3425,191.6300
8.863989,242.2244,191.6830
8.880735,243.6024,190.0017
8.897481,239.1732,188.8341
8.914228,236.6142,186.9003
8.930974,238.3858,185.2995
8.947720,237.4016,184.5234
8.964466,239.9606,184.6652
8.981212,231.9882,183.5667
8.997958,233.1693,182.8208
9.014705,236.7126,180.7458
9.031451,235.8268,180.5432
9.048197,223.7205,178.4476
9.064943,232.5787,176.8579
9.081689,226.4764,175.6793
9.098435,232.5787,174.2846
9.115181,218.0118,175.4256
9.131928,227.4606,177.0697
9.148674,232.9724,176.5489
9.165420,227.2638,174.6949
9.182166,232.5787,172.1301
9.198912,221.1614,170.2114
9.215658,215.0591,166.9468
9.232405,207.4803,163.5343
9.249151,217.4213,162.3215
9.265897,215.0591,159.9364
9.282643,217.6181,160.9296
9.299389,209.0551,160.7981
9.316135,214.0748,161.8801
9.332882,206.9882,159.7485
9.349628,216.5354,158.4793
9.366374,208.5630,157.1642
9.383120,214.5669,157.0095
9.399866,199.7047,155.0770
9.416612,206.1024,154.7104
9.433358,206.7913,152.6907
9.450105,206.3976,152.2516
9.466851,202.2638,152.1507
9.483597,206.8898,153.6002
9.500343,200.5906,150.7642
9.517089,203.8386,149.8247
9.533835,205.6102,148.7317
9.550582,198.2283,147.3102
9.567328,191.1417,146.9376
9.584074,205.7087,149.4629
9.600820,198.2283,149.4455
9.617566,201.2795,149.6191
9.634312,210.9252,150.7071
9.651059,207.5787,151.9963
9.667805,191.4370,150.0890
9.684551,199.2126,147.1149
9.701297,201.1811,143.9004
9.718043,199.5079,140.9396
9.734789,185.0394,139.3481
9.751535,182.0866,139.5385
9.768282,195.6693,136.2927
9.785028,189.4685,134.4332
9.801774,185.5315,133.1569
9.818520,187.9921,133.5919
9.835266,177.5591,132.2768
9.852012,184.2520,130.5586
9.868759,181.4961,131.1946
9.885505,186.2205,130.9977
9.902251,182.6772,130.6421
9.918997,184.7441,130.4329
9.935743,181.0039,128.3644
9.952489,176.2795,127.2156
9.969235,178.4449,126.7003
9.985982,175.1969,124.6742
10.002728,176.3780,122.1131
10.019474,177.6575,121.3573
10.036220,175.0984,121.0630
10.052966,160.9252,119.0851
10.069712,171.0630,119.1470
10.086459,175.5906,117.4190
10.103205,169.8819,116.2415
10.119951,164.0748,114.9106
10.136697,171.4567,113.1979
10.153443,157.2835,110.8832
10.170189,162.5984,110.3493
10.186936,157.8740,109.9680
10.203682,161.5157,109.7925
10.220428,170.1772,109.6452
10.237174,162.7953,109.6624
10.253920,155.0197,109.3456
10.270666,160.5315,107.3741
10.287412,159.0551,104.1850
10.304159,151.4764,101.4298
10.320905,158.6614,100.5096
10.337651,143.1102,100.0044
10.354397,151.0827,97.6502
10.371143,151.9685,97.1704
10.387889,150.0984,96.8621
10.404636,150.0984,97.1328
10.421382,145.2756,98.9306
10.438128,152.6575,98.6780
10.454874,149.3110,97.5726
10.471620,155.0197,97.8193
10.488366,148.0315,96.1050
10.505113,145.7677,94.2198
10.521859,139.7638,91.5522
10.538605,146.9488,90.0251
10.555351,134.2520,87.6379
10.572097,140.9449,86.5949
10.588843,140.9449,86.3246
10.605589,138.5827,86.4405
10.622336,135.0394,86.6796
10.639082,138.9764,88.8768
10.655828,143.3071,88.0272
10.672574,140.9449,86.7734
10.689320,142.8150,86.5972
10.706066,138.5827,87.0804
10.722813,130.5118,85.8924
10.739559,135.0394,86.4593
10.756305,144.3898,87.5236
10.773051,142.7165,86.4848
10.789797,137.0079,86.2113
10.806543,144.1929,86.2065
10.823289,132.4803,84.4683
10.840036,126.6732,82.4925
10.856782,137.3031,82.5597
10.873528,138.0906,82.2940
10.890274,134.7441,82.0774
10.907020,135.0394,83.0780
10.923766,136.2205,83.1771
10.940513,130.8071,81.9552
10.957259,135.6299,81.6213
10.974005,132.4803,81.9836
10.990751,135.7283,82.4542
11.007497,134.7441,82.4599
11.024243,133.6614,82.1731
11.040990,135.3346,80.6428
11.057736,133.7598,80.8805
11.074482,128.7402,79.2376
11.091228,128.6417,78.1579
11.107974,130.8071,77.6169
11.124720,134.2520,77.4957
11.141466,123.7205,78.2214
11.158213,131.1024,77.9807
11.174959,132.3819,78.0140
11.191705,131.1024,76.5055
11.208451,128.5433,75.7771
11.225197,123.7205,76.1258
11.241943,130.7087,76.2401
11.258690,123.3268,76.6728
11.275436,132.5787,77.5428
11.292182,132.7756,79.5028
11.308928,135.7283,79.8662
11.325674,128.3465,79.1738
11.342420,131.0039,78.6672
11.359167,132.1850,76.8141
11.375913,122.9331,75.8661
11.392659,128.6417,75.5059
11.409405,126.9685,76.2222
11.426151,129.5276,75.3400
11.442897,128.9370,75.4281
11.459643,129.8228,77.5288
11.476390,127.8543,77.3035
11.493136,125.6890,77.6646
11.509882,133.2677,77.2858
11.526628,134.5472,77.0376
11.543374,124.7047,76.8659
11.560120,129.0354,77.0187
11.576867,127.2638,77.2631
11.593613,129.0354,76.9015
11.610359,130.7087,77.0272
11.627105,131.2008,78.5894
11.643851,131.6929,78.3366
11.660597,129.3307,78.9834
11.677343,127.7559,77.1289
11.694090,131.4961,75.4242
11.710836,125.7874,73.7060
11.727582,126.3780,72.0408
11.744328,115.8465,71.3076
11.761074,124.6063,69.6281
11.777820,122.1457,69.8589
11.794567,122.2441,69.7318
11.811313,123.6220,70.0641
11.828059,119.4882,70.6587
11.844805,128.3465,69.6848
11.861551,115.3543,69.4400
11.878297,124.0157,69.0738
11.895044,120.0787,69.3636
11.911790,121.2598,69.0603
11.928536,120.2756,67.7055
11.945282,121.8504,68.3268
11.962028,121.7520,67.0351
11.978774,115.0591,68.1043
11.995520,118.4055,67.6612
12.012267,121.9488,67.8441
12.029013,120.6693,67.2106
12.045759,124.2126,68.0309
12.062505,114.6654,68.5491
12.079251,120.6693,67.1108
12.095997,117.1260,66.3517
12.112744,122.8346,65.8460
12.129490,114.4685,64.6050
12.146236,114.4685,65.1501
12.162982,119.3898,63.6377
12.179728,114.3701,63.4613
12.196474,113.4843,62.4924
12.213221,118.6024,63.5428
12.229967,112.3031,64.2900
12.246713,117.8150,64.6000
12.263459,115.1575,64.2705
12.280205,120.3740,63.5634
12.296951,117.1260,62.2469
12.313697,111.3189,61.8743
12.330444,107.4803,60.9789
